BUS_NODE_ID|BUS_NODE_NM|ARO_BUSSTOP_ID|ARO_NM|BUSSTOP_ID|BUSSTOP_NM|ETL_TYPE|ETL_DATE,,,
8002565|정생농협창고|22810|정생농협창고|3021273500|정생농협창고|0602|2019-12-30 02:43:03,,,
8002570|신흥마을아파트정문|10560|신흥마을아파트정문|3001274000|신흥마을아파트정문|0602|2019-12-30 02:43:03,,,
8002572|어진마을아파트|10550|어진마을아파트|3001274200|어진마을아파트|0602|2019-12-30 02:43:03,,,
8002574|제이파크아파트|40140|제이파크아파트|3051998800|제이파크아파트|0602|2019-12-30 02:43:03,,,
8002577|제일사료|50450|제일사료|3051274401|제일사료|0602|2019-12-30 02:43:03,,,
8002579|유천초등학교|30560|유천초등학교|3001187800|유천초등학교|0602|2019-12-30 02:43:03,,,
8002581|도마2동주민센터|30600|도마2동주민센터|3001188000|도마2동주민센터|0602|2019-12-30 02:43:03,,,
8002583|도마중학교|30610|도마중학교|3001274700|도마중학교|0602|2019-12-30 02:43:03,,,
8002585|대전지방조달청|30440|대전지방조달청|3001274900|대전지방조달청|0602|2019-12-30 02:43:03,,,
8002587|주산동/상촌|12810|주산동/상촌|3011275300|주산동/상촌|0602|2019-12-30 02:43:03,,,
8002589|주유소|41420|주유소|3051275500|주유소|0602|2019-12-30 02:43:03,,,
8002591|주촌1구|13370|주촌1구|3021275700|주촌1구|0602|2019-12-30 02:43:03,,,
8002593|주촌2구|13330|주촌2구|3021275900|주촌2구|0602|2019-12-30 02:43:03,,,
8002595|주촌동|13350|주촌동|3021276100|주촌동|0602|2019-12-30 02:43:03,,,
8002597|죽동네거리|41990|죽동네거리|3051276300|죽동네거리|0602|2019-12-30 02:43:03,,,
8002601|중구보건소|21850|중구보건소|3001276700|중구보건소|0602|2019-12-30 02:43:03,,,
8002603|중구청|20600|중구청|3001276900|중구청|0602|2019-12-30 02:43:03,,,
